y_mid,empirical_density,analytic_density
0.00625000,8.91320000,6.32455532
0.01875000,3.76920000,3.65148372
0.03125000,2.83360000,2.82842712
0.04375000,2.41840000,2.39045722
0.05625000,2.09000000,2.10818511
0.06875000,1.92680000,1.90692518
0.08125000,1.73760000,1.75411604
0.09375000,1.63280000,1.63299316
0.10625000,1.57200000,1.53392998
0.11875000,1.47320000,1.45095250
0.13125000,1.38200000,1.38013112
0.14375000,1.31160000,1.31876095
0.15625000,1.22840000,1.26491106
0.16875000,1.19880000,1.21716124
0.18125000,1.16560000,1.17444044
0.19375000,1.13600000,1.13592367
0.20625000,1.08400000,1.10096377
0.21875000,1.09000000,1.06904497
0.23125000,1.03960000,1.03975049
0.24375000,0.99480000,1.01273937
0.25625000,0.97280000,0.98772960
0.26875000,0.97840000,0.96448564
0.28125000,0.93840000,0.94280904
0.29375000,0.92360000,0.92253121
0.30625000,0.87320000,0.90350790
0.31875000,0.90880000,0.88561489
0.33125000,0.87080000,0.86874449
0.34375000,0.86680000,0.85280287
0.35625000,0.85440000,0.83770782
0.36875000,0.82520000,0.82338697
0.38125000,0.82600000,0.80977633
0.39375000,0.78160000,0.79681907
0.40625000,0.77080000,0.78446454
0.41875000,0.79400000,0.77266741
0.43125000,0.74680000,0.76138699
0.44375000,0.76560000,0.75058663
0.45625000,0.72840000,0.74023321
0.46875000,0.72240000,0.73029674
0.48125000,0.71680000,0.72074997
0.49375000,0.73240000,0.71156807
0.50625000,0.72560000,0.70272837
0.51875000,0.69000000,0.69421013
0.53125000,0.66360000,0.68599434
0.54375000,0.69960000,0.67806350
0.55625000,0.66280000,0.67040152
0.56875000,0.67840000,0.66299354
0.58125000,0.68720000,0.65582584
0.59375000,0.62040000,0.64888568
0.60625000,0.63600000,0.64216130
0.61875000,0.64200000,0.63564173
0.63125000,0.62240000,0.62931678
0.64375000,0.62880000,0.62317695
0.65625000,0.61480000,0.61721340
0.66875000,0.57120000,0.61141784
0.68125000,0.59880000,0.60578253
0.69375000,0.60040000,0.60030023
0.70625000,0.59960000,0.59496412
0.71875000,0.60880000,0.58976782
0.73125000,0.57240000,0.58470535
0.74375000,0.59080000,0.57977104
0.75625000,0.58080000,0.57495957
0.76875000,0.58200000,0.57026595
0.78125000,0.57160000,0.56568542
0.79375000,0.57880000,0.56121353
0.80625000,0.55440000,0.55684605
0.81875000,0.53600000,0.55257896
0.83125000,0.56960000,0.54840850
0.84375000,0.52840000,0.54433105
0.85625000,0.54560000,0.54034323
0.86875000,0.52480000,0.53644178
0.88125000,0.53760000,0.53262364
0.89375000,0.52280000,0.52888589
0.90625000,0.52480000,0.52522573
0.91875000,0.51080000,0.52164053
0.93125000,0.50280000,0.51812776
0.94375000,0.50520000,0.51468501
0.95625000,0.48880000,0.51130999
0.96875000,0.52400000,0.50800051
0.98125000,0.48920000,0.50475447
0.99375000,0.51360000,0.50156986
